"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"Erev Shavuot","5/14/2013",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","3","Jewish Holidays"
"Shavuot I","5/15/2013",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Shavuot II","5/16/2013",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Rosh Chodesh Tamuz","6/8/2013",,,,"true","Beginning of new Hebrew month of Tamuz","3","Jewish Holidays"
"Rosh Chodesh Tamuz","6/9/2013",,,,"true","Beginning of new Hebrew month of Tamuz","3","Jewish Holidays"
"Tzom Tammuz","6/25/2013",,,,"true","Fast commemorating breaching of the walls of Jerusalem by Nebuchadnezzar","3","Jewish Holidays"
"Rosh Chodesh Av","7/8/2013",,,,"true","Beginning of new Hebrew month of Av","3","Jewish Holidays"
"Shabbat Chazon","7/13/2013",,,,"true","Shabbat before Tish'a B'Av (Shabbat of Prophecy/Shabbat of Vision)","3","Jewish Holidays"
"Erev Tish'a B'Av","7/15/2013",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Tish'a B'Av","7/16/2013",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Shabbat Nachamu","7/20/2013",,,,"true","Shabbat after Tish'a B'Av (Shabbat of Consolation)","3","Jewish Holidays"
"Rosh Chodesh Elul","8/6/2013",,,,"true","Beginning of new Hebrew month of Elul","3","Jewish Holidays"
"Rosh Chodesh Elul","8/7/2013",,,,"true","Beginning of new Hebrew month of Elul","3","Jewish Holidays"
"Erev Rosh Hashana","9/4/2013",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5774","9/5/2013",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","9/6/2013",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Shabbat Shuva","9/7/2013",,,,"true","Shabbat that falls between Rosh Hashanah and Yom Kippur (Shabbat of Returning)","3","Jewish Holidays"
"Tzom Gedaliah","9/8/2013",,,,"true","Fast of the Seventh Month","3","Jewish Holidays"
"Erev Yom Kippur","9/13/2013",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","9/14/2013",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","9/18/2013",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot I","9/19/2013",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot II","9/20/2013",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot III (CH''M)","9/21/2013",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot IV (CH''M)","9/22/2013",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot V (CH''M)","9/23/2013",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VI (CH''M)","9/24/2013",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","9/25/2013",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Shmini Atzeret","9/26/2013",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Simchat Torah","9/27/2013",,,,"true","Day of Celebrating the Torah","4","Jewish Holidays"
"Rosh Chodesh Cheshvan","10/4/2013",,,,"true","Beginning of new Hebrew month of Cheshvan","3","Jewish Holidays"
"Rosh Chodesh Cheshvan","10/5/2013",,,,"true","Beginning of new Hebrew month of Cheshvan","3","Jewish Holidays"
"Rosh Chodesh Kislev","11/3/2013",,,,"true","Beginning of new Hebrew month of Kislev","3","Jewish Holidays"
"Rosh Chodesh Kislev","11/4/2013",,,,"true","Beginning of new Hebrew month of Kislev","3","Jewish Holidays"
"Chanukah: 1 Candle","11/27/2013",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 2 Candles","11/28/2013",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 3 Candles","11/29/2013",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 4 Candles","11/30/2013",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 5 Candles","12/1/2013",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 6 Candles","12/2/2013",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Rosh Chodesh Tevet","12/3/2013",,,,"true","Beginning of new Hebrew month of Tevet","3","Jewish Holidays"
"Chanukah: 7 Candles","12/3/2013",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Rosh Chodesh Tevet","12/4/2013",,,,"true","Beginning of new Hebrew month of Tevet","3","Jewish Holidays"
"Chanukah: 8 Candles","12/4/2013",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 8th Day","12/5/2013",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Asara B'Tevet","12/13/2013",,,,"true","Fast commemorating the siege of Jerusalem","3","Jewish Holidays"
"Rosh Chodesh Sh'vat","1/2/2014",,,,"true","Beginning of new Hebrew month of Sh'vat","3","Jewish Holidays"
"Tu BiShvat","1/16/2014",,,,"true","New Year for Trees","3","Jewish Holidays"
"Rosh Chodesh Adar I","1/31/2014",,,,"true","Beginning of new Hebrew month of Adar","3","Jewish Holidays"
"Rosh Chodesh Adar I","2/1/2014",,,,"true","Beginning of new Hebrew month of Adar","3","Jewish Holidays"
"Purim Katan","2/14/2014",,,,"true","Minor Purim celebration during Adar I on leap years","3","Jewish Holidays"
"Shabbat Shekalim","3/1/2014",,,,"true","Shabbat before Rosh Chodesh Adar","3","Jewish Holidays"
"Rosh Chodesh Adar II","3/2/2014",,,,"true","Beginning of new Hebrew month of Adar","3","Jewish Holidays"
"Rosh Chodesh Adar II","3/3/2014",,,,"true","Beginning of new Hebrew month of Adar","3","Jewish Holidays"
"Ta'anit Esther","3/13/2014",,,,"true","Fast of Esther","3","Jewish Holidays"
"Shabbat Zachor","3/15/2014",,,,"true","Shabbat before Purim","3","Jewish Holidays"
"Erev Purim","3/15/2014",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Purim","3/16/2014",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Shushan Purim","3/17/2014",,,,"true","Purim celebrated in Jerusalem and walled cities","3","Jewish Holidays"
"Shabbat Parah","3/22/2014",,,,"true","Shabbat of the Red Heifer","3","Jewish Holidays"
"Shabbat HaChodesh","3/29/2014",,,,"true","Shabbat before Rosh Chodesh Nissan","3","Jewish Holidays"
"Rosh Chodesh Nisan","4/1/2014",,,,"true","Beginning of new Hebrew month of Nisan","3","Jewish Holidays"
"Shabbat HaGadol","4/12/2014",,,,"true","Shabbat before Pesach","3","Jewish Holidays"
"Ta'anit Bechorot","4/14/2014",,,,"true","Fast of the First Born","3","Jewish Holidays"
"Erev Pesach","4/14/2014",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","4/15/2014",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
